Source,Target,Type,Weight
1980s,2.5D,Undirected,0.301029996
1980s,2D Fighter,Undirected,0.301029996
1980s,6DOF,Undirected,0.301029996
1980s,Abstract,Undirected,0.301029996
1980s,Agriculture,Undirected,0.301029996
1980s,Alternate History,Undirected,0.477121255
1980s,America,Undirected,0.477121255
1980s,Assassin,Undirected,0.301029996
1980s,Asynchronous Multiplayer,Undirected,0.301029996
1980s,Based On A Novel,Undirected,0.301029996
1980s,Basketball,Undirected,0.477121255
1980s,Batman,Undirected,0.301029996
1980s,Benchmark,Undirected,0.301029996
1980s,Bowling,Undirected,0.301029996
1980s,Bullet Time,Undirected,0.301029996
1980s,Capitalism,Undirected,0.301029996
1980s,Cartoon,Undirected,0.602059991
1980s,Character Action Game,Undirected,0.477121255
1980s,Chess,Undirected,0.301029996
1980s,Cinematic,Undirected,0.301029996
1980s,Class-Based,Undirected,0.301029996
1980s,Clicker,Undirected,0.301029996
1980s,Cold War,Undirected,0.301029996
1980s,Comic Book,Undirected,0.301029996
1980s,Conspiracy,Undirected,0.301029996
1980s,Co-op Campaign,Undirected,0.301029996
1980s,Crowdfunded,Undirected,0.301029996
1980s,CRPG,Undirected,0.301029996
1980s,Dark Comedy,Undirected,0.301029996
1980s,Dinosaurs,Undirected,0.301029996
1980s,Diplomacy,Undirected,0.301029996
1980s,Documentary,Undirected,0.301029996
1980s,Dynamic Narration,Undirected,0.301029996
1980s,e-sports,Undirected,0.301029996
1980s,Fishing,Undirected,0.301029996
1980s,FMV,Undirected,0.477121255
1980s,Football,Undirected,0.301029996
1980s,Gambling,Undirected,0.301029996
1980s,GameMaker,Undirected,0.301029996
1980s,Games Workshop,Undirected,0.301029996
1980s,God Game,Undirected,0.301029996
1980s,Golf,Undirected,0.301029996
1980s,Gothic,Undirected,0.301029996
1980s,Grid-Based Movement,Undirected,0.301029996
1980s,Gun Customization,Undirected,0.301029996
1980s,Hacking,Undirected,0.301029996
1980s,Hand-drawn,Undirected,0.301029996
1980s,Heist,Undirected,0.301029996
1980s,Hex Grid,Undirected,0.301029996
1980s,Horses,Undirected,0.301029996
1980s,Hunting,Undirected,0.301029996
1980s,Inventory Management,Undirected,0.301029996
1980s,Lara Croft,Undirected,0.301029996
1980s,LEGO,Undirected,0.301029996
1980s,Lemmings,Undirected,0.301029996
1980s,Linear,Undirected,0.301029996
1980s,Lore-Rich,Undirected,0.477121255
1980s,Lovecraftian,Undirected,0.301029996
1980s,Mars,Undirected,0.477121255
1980s,Martial Arts,Undirected,0.477121255
1980s,Match 3,Undirected,0.301029996
1980s,Mechs,Undirected,0.477121255
1980s,Mini Golf,Undirected,0.301029996
1980s,Mining,Undirected,0.301029996
1980s,Modern,Undirected,0.301029996
1980s,Mouse only,Undirected,0.301029996
1980s,Music-Based Procedural Generation,Undirected,0.301029996
1980s,Mystery Dungeon,Undirected,0.301029996
1980s,Mythology,Undirected,0.301029996
1980s,Narration,Undirected,0.301029996
1980s,Naval,Undirected,0.301029996
1980s,Ninja,Undirected,0.301029996
1980s,Noir,Undirected,0.698970004
1980s,Nonlinear,Undirected,0.301029996
1980s,NSFW,Undirected,0.301029996
1980s,Offroad,Undirected,0.301029996
1980s,On-Rails Shooter,Undirected,0.301029996
1980s,Otome,Undirected,0.301029996
1980s,Parody,Undirected,0.698970004
1980s,Philisophical,Undirected,0.301029996
1980s,Pinball,Undirected,0.301029996
1980s,Pirates,Undirected,0.301029996
1980s,Political,Undirected,0.301029996
1980s,Politics,Undirected,0.301029996
1980s,Pool,Undirected,0.301029996
1980s,Programming,Undirected,0.301029996
1980s,Psychedelic,Undirected,0.477121255
1980s,Psychological,Undirected,0.301029996
1980s,Quick-Time Events,Undirected,0.477121255
1980s,Real Time Tactics,Undirected,0.301029996
1980s,Real-Time,Undirected,0.301029996
1980s,Rhythm,Undirected,0.477121255
1980s,Rome,Undirected,0.301029996
1980s,Runner,Undirected,0.301029996
1980s,Sailing,Undirected,0.301029996
1980s,Satire,Undirected,0.477121255
1980s,Science,Undirected,0.301029996
1980s,Score Attack,Undirected,0.301029996
1980s,Sexual Content,Undirected,0.477121255
1980s,Silent Protagonist,Undirected,0.301029996
1980s,Sniper,Undirected,0.301029996
1980s,Soccer,Undirected,0.301029996
1980s,Sokoban,Undirected,0.301029996
1980s,Soundtrack,Undirected,0.301029996
1980s,Spectacle fighter,Undirected,0.477121255
1980s,Spelling,Undirected,0.301029996
1980s,Split Screen,Undirected,0.301029996
1980s,Star Wars,Undirected,0.301029996
1980s,Strategy RPG,Undirected,0.301029996
1980s,Superhero,Undirected,0.301029996
1980s,Supernatural,Undirected,0.301029996
1980s,Swordplay,Undirected,0.301029996
