Tags,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1984
Strategy,Tactical,1,1,2,1,Typical,4,2,3,1,Simulation,1,2,2,1,Simulation,1,1,3,2,Simulation,3,1,1,1,0,0
Utilities,Tactical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free_to_Play,Typical,3,3,2,1,Tactical,1,1,1,3,mixed,5,3,3,3,Simulation,4,1,3,3,Simulation,3,1,0,0,0,0
RPG,Typical,3,3,1,2,Tactical,1,1,1,3,isometric,2,1,5,3,RPG,3,3,2,2,Atypical,3,1,1,1,0,0
Massively_Multiplayer,Typical,3,3,2,2,Explorative,1,1,1,3,mixed,2,1,5,3,Simulation,1,1,3,2,0,0,0,0,0,0,0
Casual,Tactical,1,1,1,4,Thrilling,3,3,2,6,mixed,5,4,4,4,Thrilling,2,4,1,1,Thrilling,4,4,3,2,Puzzle,1
Simulation,Tactical,1,1,1,1,Explorative,4,2,3,1,Simulation,1,2,2,1,Simulation,1,1,3,2,Simulation,3,1,1,1,Game,0
Racing,Atypical,4,4,4,5,Atypical,3,3,2,6,mixed,5,3,1,3,TPS,1,1,3,2,Atypical,3,1,1,1,0,0
Sports,Atypical,4,4,4,1,Atypical,4,3,3,6,mixed,1,3,1,3,TPS,1,1,3,2,Atypical,3,1,1,0,0,0
Education,Tactical,1,1,1,1,Explorative,3,3,2,4,Thrilling,4,4,4,5,FPS,2,2,4,3,Typical,2,1,1,2,0,0
Trains,Tactical,1,1,1,1,Explorative,4,2,3,1,Simulation,1,2,2,1,Simulation,0,0,0,0,0,0,0,0,0,0,0
Music,Atypical,4,4,4,5,Atypical,3,3,2,6,mixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platformer,Atypical,4,4,4,5,Atypical,3,3,4,5,mixed,3,5,1,2,RPG,2,4,1,1,Simulation,3,1,1,1,Game,0
Metroidvania,Atypical,4,4,4,5,Tactical,3,3,2,5,mixed,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building,Tactical,1,1,1,1,Explorative,4,2,3,1,Simulation,1,2,2,1,Simulation,0,0,0,0,0,0,0,0,0,0,0
Tower_Defense,Typical,3,3,2,5,Atypical,4,3,2,1,Maniac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hack_and_Slash,Typical,3,4,4,2,Tactical,1,1,1,3,mixed,3,1,5,2,RPG,3,2,3,2,0,0,0,0,0,0,0
Western,Thrilling,2,2,4,4,Antiheroic,5,4,5,4,Action,1,2,1,3,Simulation,4,3,0,0,0,0,0,0,0,0,0
Satire,Thrilling,2,2,3,4,Thrilling,5,4,5,2,Thrilling,4,4,4,4,Thrilling,2,4,4,3,Thrilling,4,2,0,0,0,0
Relaxing,Tactical,1,1,1,4,Tactical,3,3,2,5,mixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zombies,Typical,3,3,2,1,Atypical,5,4,5,4,Action,1,2,2,5,FPS,4,2,4,3,Typical,2,1,1,0,0,0
Survival,Thrilling,2,3,1,1,Explorative,5,4,5,2,Thrilling,4,4,1,4,TPS,0,0,0,0,0,0,0,0,0,0,0
FPS,Thrilling,2,4,3,3,Antiheroic,5,4,5,4,Action,4,3,3,5,FPS,4,2,4,3,Typical,2,1,1,1,Game,0
Puzzle,Thrilling,2,2,3,4,Thrilling,3,4,5,2,Thrilling,4,4,4,4,Thrilling,2,4,1,1,Thrilling,4,4,3,2,Puzzle,2
Match_3,Atypical,4,4,4,5,Atypical,3,3,2,5,mixed,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Card_Game,Typical,3,3,2,1,Typical,4,2,3,3,isometric,2,1,5,3,RPG,3,3,0,0,0,0,0,0,0,0,0
Horror,Thrilling,2,2,3,4,Thrilling,5,4,5,2,Thrilling,4,4,4,4,Thrilling,2,4,2,1,Thrilling,4,3,2,2,Horror,0
Moddable,Tactical,1,1,1,1,Typical,4,2,3,1,Simulation,1,3,3,5,FPS,4,2,4,3,Typical,2,1,0,0,0,0
4X,Typical,3,3,2,1,Typical,4,2,3,1,Simulation,1,2,5,1,Simulation,1,1,3,2,Simulation,3,1,1,1,0,0
Superhero,Atypical,4,4,4,5,Antiheroic,2,3,4,5,Maniac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aliens,Typical,3,3,2,1,Atypical,5,3,2,3,isometric,5,3,5,3,RPG,4,1,0,0,0,0,0,0,0,0,0
RTS,Typical,3,3,2,1,Typical,4,2,3,1,Simulation,1,2,2,1,Simulation,1,1,2,2,Typical,3,0,0,0,0,0
Turn-Based,Typical,3,3,2,1,Typical,4,2,3,3,isometric,2,1,5,3,RPG,3,3,2,2,Simulation,3,1,1,1,0,0
War,Typical,3,3,2,1,Typical,4,2,3,4,Action,1,2,2,5,Simulation,0,0,0,0,0,0,0,0,0,0,0
Pirates,Tactical,1,1,1,4,Explorative,2,2,3,1,Simulation,1,2,2,1,Simulation,1,0,0,0,0,0,0,0,0,0,0
Fantasy,Typical,3,3,2,2,Tactical,1,1,1,3,mixed,3,1,5,2,RPG,3,3,2,3,Typical,2,1,1,2,0,0
Co-op,Atypical,4,4,4,5,Atypical,4,3,4,4,Maniac,5,3,3,5,FPS,4,2,4,2,Typical,2,0,0,0,0,0
Stealth,Thrilling,2,2,3,3,Typical,5,4,5,4,Action,1,2,1,3,Simulation,4,2,2,2,Typical,0,0,0,0,0,0
