Tags,2018,2013,2008,2003,1998,1993
Strategy,Tactical,Typical,Simulation,Simulation,Simulation,0
Utilities,Tactical,0,0,0,0,0
Free_to_Play,Typical,Tactical,Mixed,Simulation,Simulation,0
RPG,Typical,Tactical,Isometric,RPG,Atypical,0
Massively_Multiplayer,Typical,Explorative,Mixed,Simulation,0,0
Casual,Tactical,Thrilling,Mixed,Thrilling,Thrilling,Puzzle
Simulation,Tactical,Explorative,Simulation,Simulation,Simulation,Game
Racing,Atypical,Atypical,Mixed,TPS,Atypical,0
Sports,Atypical,Atypical,Mixed,TPS,Atypical,0
Education,Tactical,Explorative,Thrilling,FPS,Typical,0
Trains,Tactical,Explorative,Simulation,Simulation,0,0
Music,Atypical,Atypical,Mixed,0,0,0
Platformer,Atypical,Atypical,Mixed,RPG,Simulation,Game
Metroidvania,Atypical,Tactical,Mixed,0,0,0
Building,Tactical,Explorative,Simulation,Simulation,0,0
Tower_Defense,Typical,Atypical,Maniac,0,0,0
Hack_and_Slash,Typical,Tactical,Mixed,RPG,0,0
Western,Thrilling,Antiheroic,Action,Simulation,0,0
Satire,Thrilling,Thrilling,Thrilling,Thrilling,Thrilling,0
Relaxing,Tactical,Tactical,Mixed,0,0,0
Zombies,Typical,Atypical,Action,FPS,Typical,0
Survival,Thrilling,Explorative,Thrilling,TPS,0,0
FPS,Thrilling,Antiheroic,Action,FPS,Typical,Game
Puzzle,Thrilling,Thrilling,Thrilling,Thrilling,Thrilling,Puzzle
Match_3,Atypical,Atypical,Mixed,0,0,0
Card_Game,Typical,Typical,Isometric,RPG,0,0
Horror,Thrilling,Thrilling,Thrilling,Thrilling,Thrilling,Horror
Moddable,Tactical,Typical,Simulation,FPS,Typical,0
4X,Typical,Typical,Simulation,Simulation,Simulation,0
Superhero,Atypical,Antiheroic,Maniac,0,0,0
Aliens,Typical,Atypical,Isometric,RPG,0,0
RTS,Typical,Typical,Simulation,Simulation,Typical,0
Turn-Based,Typical,Typical,Isometric,RPG,Simulation,0
War,Typical,Typical,Action,Simulation,0,0
Pirates,Tactical,Explorative,Simulation,Simulation,0,0
Fantasy,Typical,Tactical,Mixed,RPG,Typical,0
Co-op,Atypical,Atypical,Maniac,FPS,Typical,0
Stealth,Thrilling,Typical,Action,Simulation,Typical,0
Ninja,Atypical,Typical,0,0,0,0
Classic,Typical,Typical,Thrilling,FPS,Typical,Game
Open_World,Typical,Explorative,Simulation,RPG,Atypical,0
Third_Person,Thrilling,Antiheroic,Thrilling,RPG,Typical,0
Point_&_Click,Thrilling,Thrilling,Thrilling,Thrilling,Thrilling,Horror
Crafting,Tactical,Explorative,0,0,0,0
Tactical,Typical,Typical,Isometric,Simulation,Typical,0
Surreal,Thrilling,Thrilling,Thrilling,Thrilling,Thrilling,Narrative
Rogue-like,Typical,Typical,Isometric,0,0,0
Hex_Grid,Typical,Typical,Isometric,0,0,0
MOBA,Typical,Atypical,0,0,0,0
Comedy,Thrilling,Thrilling,Thrilling,Thrilling,Thrilling,0
Dungeon_Crawler,Typical,Typical,Isometric,RPG,0,0
Psychological_Horror,Thrilling,Thrilling,Thrilling,Thrilling,Thrilling,0
Voxel,Atypical,Antiheroic,Mixed,TPS,Atypical,0
Fast-Paced,Atypical,Atypical,Thrilling,FPS,Typical,0
LEGO,Atypical,Antiheroic,Maniac,0,0,0
Turn-Based_Strategy,Typical,Typical,Isometric,RPG,Simulation,0
Story_Rich,Thrilling,Thrilling,Thrilling,RPG,Thrilling,Narrative
Fighting,Atypical,Tactical,Mixed,TPS,Typical,0
Rhythm,Atypical,Atypical,0,0,0,0
MMORPG,Typical,Tactical,Mixed,0,0,0
Space,Atypical,Explorative,Simulation,Simulation,Typical,0
Great_Soundtrack,Thrilling,Tactical,Mixed,RPG,Typical,0
Perma_Death,Typical,Typical,Isometric,0,0,0
Board_Game,Typical,Typical,Mixed,0,0,0
Arcade,Atypical,Atypical,Mixed,TPS,0,0
Shooter,Atypical,Antiheroic,Action,FPS,Typical,Game
PvP,Typical,Tactical,0,0,0,0
Steampunk,Thrilling,Thrilling,Thrilling,Thrilling,Thrilling,Narrative
Side_Scroller,Atypical,Tactical,Mixed,0,0,0
Visual_Novel,Thrilling,Tactical,Mixed,0,0,0
Sandbox,Tactical,Explorative,Simulation,Simulation,Atypical,0
Real_Time_Tactics,Typical,Typical,Action,Simulation,0,0
Third-Person_Shooter,Atypical,Antiheroic,Action,TPS,Typical,0
Exploration,Thrilling,Thrilling,Mixed,RPG,Thrilling,Narrative
Post-apocalyptic,Thrilling,Thrilling,Thrilling,Thrilling,Thrilling,0
First-Person,Thrilling,Thrilling,Thrilling,FPS,Typical,Narrative
Local_Co-Op,Atypical,Atypical,Maniac,FPS,0,0
Online_Co-Op,Atypical,Atypical,Action,0,0,0
Multiplayer,Tactical,Typical,Simulation,Simulation,Typical,0
2D,Tactical,Atypical,Mixed,RPG,Simulation,Game
Competitive,Atypical,Atypical,Simulation,FPS,0,0
Sci-fi,Atypical,Atypical,Isometric,FPS,Typical,0
Gothic,Thrilling,Thrilling,Thrilling,RPG,Typical,0
Rogue-lite,Atypical,Typical,0,0,0,0
Pixel_Graphics,Typical,Thrilling,Thrilling,FPS,Typical,Horror
Physics,Atypical,Thrilling,Mixed,0,0,0
Survival_Horror,Thrilling,Thrilling,Thrilling,Thrilling,Thrilling,0
Historical,Typical,Typical,Simulation,Simulation,Thrilling,0
Retro,Atypical,Thrilling,Thrilling,Thrilling,Simulation,Game
Vampire,Thrilling,Thrilling,Thrilling,RPG,Thrilling,Horror
Difficult,Atypical,Typical,Action,FPS,Typical,0
Parkour,Atypical,Tactical,Mixed,RPG,0,0
Dragons,Typical,Tactical,Maniac,0,0,0
Magic,Typical,Tactical,Simulation,Simulation,0,0
Anime,Thrilling,Tactical,Mixed,0,0,0
Minimalist,Atypical,Thrilling,0,0,0,0
Action-Adventure,Atypical,Antiheroic,Thrilling,RPG,0,0
Cyberpunk,Thrilling,Thrilling,Thrilling,Thrilling,Thrilling,Horror
Funny,Atypical,Thrilling,Maniac,RPG,Simulation,0
World_War_II,Typical,Typical,Action,Simulation,Typical,Game
Beat_'em_up,Atypical,Tactical,Mixed,TPS,Typical,0
