X,list_in_tag,date_in_tag,pos_in_tag,neg_in_tag
492,140,"16 Oct, 2013",NA,NA
19,140,"16 Oct, 2013",NA,NA
4182,140,"16 Oct, 2013",NA,NA
1756,140,"16 Oct, 2013",NA,NA
1664,140,"16 Oct, 2013",NA,NA
3871,140,"16 Oct, 2013",NA,NA
1625,140,"16 Oct, 2013",NA,NA
4026,140,"16 Oct, 2013",NA,NA
4234,140,"16 Oct, 2013",NA,NA
1621,140,"16 Oct, 2013",NA,NA
4305,140,"16 Oct, 2013",NA,NA
4094,140,"16 Oct, 2013",NA,NA
1752,140,"16 Oct, 2013",NA,NA
492,1849,"8 May, 2014",139,59
9,1849,"8 May, 2014",139,59
599,1849,"8 May, 2014",139,59
4182,1849,"8 May, 2014",139,59
12472,1849,"8 May, 2014",139,59
4328,1849,"8 May, 2014",139,59
1647,1849,"8 May, 2014",139,59
492,"10,000,000","15 Jan, 2013",NA,NA
19,"10,000,000","15 Jan, 2013",NA,NA
597,"10,000,000","15 Jan, 2013",NA,NA
122,"10,000,000","15 Jan, 2013",NA,NA
4182,"10,000,000","15 Jan, 2013",NA,NA
1664,"10,000,000","15 Jan, 2013",NA,NA
3871,"10,000,000","15 Jan, 2013",NA,NA
1684,"10,000,000","15 Jan, 2013",NA,NA
3964,"10,000,000","15 Jan, 2013",NA,NA
4004,"10,000,000","15 Jan, 2013",NA,NA
25085,"10,000,000","15 Jan, 2013",NA,NA
1665,"10,000,000","15 Jan, 2013",NA,NA
19, Fieldrunners 2,"10 Jan, 2013",222,39
9, Fieldrunners 2,"10 Jan, 2013",222,39
597, Fieldrunners 2,"10 Jan, 2013",222,39
1645, Fieldrunners 2,"10 Jan, 2013",222,39
25085, Fieldrunners 2,"10 Jan, 2013",222,39
492,! That Bastard Is Trying To Steal Our Gold !,"1 Mar, 2016",8,5
19,! That Bastard Is Trying To Steal Our Gold !,"1 Mar, 2016",8,5
21,! That Bastard Is Trying To Steal Our Gold !,"1 Mar, 2016",8,5
597,! That Bastard Is Trying To Steal Our Gold !,"1 Mar, 2016",8,5
1721,! That Bastard Is Trying To Steal Our Gold !,"1 Mar, 2016",8,5
10397,! That Bastard Is Trying To Steal Our Gold !,"1 Mar, 2016",8,5
21,!Slider Quest,"27 Sep, 2016",4,0
9,!Slider Quest,"27 Sep, 2016",4,0
1664,!Slider Quest,"27 Sep, 2016",4,0
597,"""BUTTS: The VR Experience""","3 Feb, 2016",29,12
4136,"""BUTTS: The VR Experience""","3 Feb, 2016",29,12
21978,"""BUTTS: The VR Experience""","3 Feb, 2016",29,12
6650,"""BUTTS: The VR Experience""","3 Feb, 2016",29,12
1721,"""BUTTS: The VR Experience""","3 Feb, 2016",29,12
10397,"""BUTTS: The VR Experience""","3 Feb, 2016",29,12
7478,"""BUTTS: The VR Experience""","3 Feb, 2016",29,12
492,"""Glow Ball"" - The billiard puzzle game","19 Feb, 2014",4,24
9,"""Glow Ball"" - The billiard puzzle game","19 Feb, 2014",4,24
597,"""Glow Ball"" - The billiard puzzle game","19 Feb, 2014",4,24
701,"""Glow Ball"" - The billiard puzzle game","19 Feb, 2014",4,24
492,"""Heroes of Card War""",12-2016,0,0
9,"""Heroes of Card War""",12-2016,0,0
4182,"""Heroes of Card War""",12-2016,0,0
3859,"""Heroes of Card War""",12-2016,0,0
1685,"""Heroes of Card War""",12-2016,0,0
4150,"""Heroes of Card War""",12-2016,0,0
1666,"""Heroes of Card War""",12-2016,0,0
9271,"""Heroes of Card War""",12-2016,0,0
492,#KILLALLZOMBIES,NA,3,3
19,#KILLALLZOMBIES,NA,3,3
