Source,Target,Type,Weight
1980s,2.5D,Undirected,2
1980s,2D Fighter,Undirected,2
1980s,6DOF,Undirected,2
1980s,Abstract,Undirected,2
1980s,Agriculture,Undirected,2
1980s,Alternate History,Undirected,3
1980s,America,Undirected,3
1980s,Assassin,Undirected,2
1980s,Asynchronous Multiplayer,Undirected,2
1980s,Based On A Novel,Undirected,2
1980s,Basketball,Undirected,3
1980s,Batman,Undirected,2
1980s,Benchmark,Undirected,2
1980s,Bowling,Undirected,2
1980s,Bullet Time,Undirected,2
1980s,Capitalism,Undirected,2
1980s,Cartoon,Undirected,4
1980s,Character Action Game,Undirected,3
1980s,Chess,Undirected,2
1980s,Cinematic,Undirected,2
1980s,Class-Based,Undirected,2
1980s,Clicker,Undirected,2
1980s,Cold War,Undirected,2
1980s,Comic Book,Undirected,2
1980s,Conspiracy,Undirected,2
1980s,Co-op Campaign,Undirected,2
1980s,Crowdfunded,Undirected,2
1980s,CRPG,Undirected,2
1980s,Dark Comedy,Undirected,2
1980s,Dinosaurs,Undirected,2
1980s,Diplomacy,Undirected,2
1980s,Documentary,Undirected,2
1980s,Dynamic Narration,Undirected,2
1980s,e-sports,Undirected,2
1980s,Fishing,Undirected,2
1980s,FMV,Undirected,3
1980s,Football,Undirected,2
1980s,Gambling,Undirected,2
1980s,GameMaker,Undirected,2
1980s,Games Workshop,Undirected,2
1980s,God Game,Undirected,2
1980s,Golf,Undirected,2
1980s,Gothic,Undirected,2
1980s,Grid-Based Movement,Undirected,2
1980s,Gun Customization,Undirected,2
1980s,Hacking,Undirected,2
1980s,Hand-drawn,Undirected,2
1980s,Heist,Undirected,2
1980s,Hex Grid,Undirected,2
1980s,Horses,Undirected,2
1980s,Hunting,Undirected,2
1980s,Inventory Management,Undirected,2
1980s,Lara Croft,Undirected,2
1980s,LEGO,Undirected,2
1980s,Lemmings,Undirected,2
1980s,Linear,Undirected,2
1980s,Lore-Rich,Undirected,3
1980s,Lovecraftian,Undirected,2
1980s,Mars,Undirected,3
1980s,Martial Arts,Undirected,3
1980s,Match 3,Undirected,2
1980s,Mechs,Undirected,3
1980s,Mini Golf,Undirected,2
1980s,Mining,Undirected,2
1980s,Modern,Undirected,2
1980s,Mouse only,Undirected,2
1980s,Music-Based Procedural Generation,Undirected,2
1980s,Mystery Dungeon,Undirected,2
1980s,Mythology,Undirected,2
1980s,Narration,Undirected,2
1980s,Naval,Undirected,2
1980s,Ninja,Undirected,2
1980s,Noir,Undirected,5
1980s,Nonlinear,Undirected,2
1980s,NSFW,Undirected,2
1980s,Offroad,Undirected,2
1980s,On-Rails Shooter,Undirected,2
1980s,Otome,Undirected,2
1980s,Parody,Undirected,5
1980s,Philisophical,Undirected,2
1980s,Pinball,Undirected,2
1980s,Pirates,Undirected,2
1980s,Political,Undirected,2
1980s,Politics,Undirected,2
1980s,Pool,Undirected,2
1980s,Programming,Undirected,2
1980s,Psychedelic,Undirected,3
1980s,Psychological,Undirected,2
1980s,Quick-Time Events,Undirected,3
1980s,Real Time Tactics,Undirected,2
1980s,Real-Time,Undirected,2
1980s,Rhythm,Undirected,3
1980s,Rome,Undirected,2
1980s,Runner,Undirected,2
1980s,Sailing,Undirected,2
1980s,Satire,Undirected,3
1980s,Science,Undirected,2
1980s,Score Attack,Undirected,2
1980s,Sexual Content,Undirected,3
1980s,Silent Protagonist,Undirected,2
1980s,Sniper,Undirected,2
1980s,Soccer,Undirected,2
1980s,Sokoban,Undirected,2
1980s,Soundtrack,Undirected,2
1980s,Spectacle fighter,Undirected,3
1980s,Spelling,Undirected,2
1980s,Split Screen,Undirected,2
1980s,Star Wars,Undirected,2
1980s,Strategy RPG,Undirected,2
1980s,Superhero,Undirected,2
1980s,Supernatural,Undirected,2
1980s,Swordplay,Undirected,2
1980s,Tactical RPG,Undirected,2
1980s,Tanks,Undirected,2
1980s,Time Attack,Undirected,3
1980s,Time Manipulation,Undirected,2
1980s,Time Travel,Undirected,2
1980s,Trading,Undirected,2
1980s,Trading Card Game,Undirected,2
1980s,Transhumanism,Undirected,2
1980s,Typing,Undirected,2
1980s,Underwater,Undirected,2
1980s,Vampire,Undirected,2
1980s,Villain Protagonist,Undirected,2
1980s,Voxel,Undirected,3
1980s,Wargame,Undirected,2
1980s,Warhammer 40K,Undirected,2
1980s,Werewolves,Undirected,2
1980s,Western,Undirected,2
1980s,Word Game,Undirected,2
1980s,World War I,Undirected,2
2.5D,2D Fighter,Undirected,7
2.5D,6DOF,Undirected,2
2.5D,Abstract,Undirected,4
2.5D,Agriculture,Undirected,2
2.5D,Alternate History,Undirected,3
2.5D,America,Undirected,2
2.5D,Assassin,Undirected,5
2.5D,Asynchronous Multiplayer,Undirected,2
2.5D,Based On A Novel,Undirected,2
2.5D,Basketball,Undirected,2
2.5D,Batman,Undirected,4
2.5D,Benchmark,Undirected,2
2.5D,Bowling,Undirected,2
2.5D,Bullet Time,Undirected,2
2.5D,Capitalism,Undirected,2
2.5D,Cartoon,Undirected,2
2.5D,Character Action Game,Undirected,2
2.5D,Chess,Undirected,2
2.5D,Cinematic,Undirected,2
2.5D,Class-Based,Undirected,2
2.5D,Clicker,Undirected,2
2.5D,Cold War,Undirected,2
2.5D,Comic Book,Undirected,3
2.5D,Conspiracy,Undirected,2
2.5D,Co-op Campaign,Undirected,2
2.5D,Crowdfunded,Undirected,2
2.5D,CRPG,Undirected,2
2.5D,Dark Comedy,Undirected,2
2.5D,Dinosaurs,Undirected,2
2.5D,Diplomacy,Undirected,2
2.5D,Documentary,Undirected,2
2.5D,Dynamic Narration,Undirected,2
2.5D,e-sports,Undirected,3
2.5D,Fishing,Undirected,2
2.5D,FMV,Undirected,2
2.5D,Football,Undirected,2
2.5D,Gambling,Undirected,2
2.5D,GameMaker,Undirected,2
2.5D,Games Workshop,Undirected,2
2.5D,God Game,Undirected,2
2.5D,Golf,Undirected,2
2.5D,Gothic,Undirected,2
2.5D,Grid-Based Movement,Undirected,2
2.5D,Gun Customization,Undirected,2
2.5D,Hacking,Undirected,2
2.5D,Hand-drawn,Undirected,2
2.5D,Heist,Undirected,2
