source,target,weight
Strategy,Free_to_Play,105
Strategy,RPG,510
Strategy,Massively_Multiplayer,75
Strategy,Casual,706
Strategy,Simulation,674
Strategy,Racing,45
Strategy,Sports,112
Strategy,Platformer,32
Strategy,Building,40
Strategy,Tower_Defense,164
Strategy,Zombies,48
Strategy,Survival,66
Strategy,FPS,34
Strategy,Puzzle,194
Strategy,Match_3,26
Strategy,Card_Game,76
Strategy,Horror,42
Strategy,Moddable,22
Strategy,4X,68
Strategy,RTS,212
Strategy,Turn-Based,276
Strategy,War,48
Strategy,Fantasy,169
Strategy,Co-op,80
Strategy,Stealth,28
Strategy,Classic,73
Strategy,Open_World,66
Strategy,Crafting,21
Strategy,Tactical,154
Strategy,Rogue-like,71
Strategy,Hex_Grid,30
Strategy,MOBA,22
Strategy,Comedy,48
Strategy,Dungeon_Crawler,24
Strategy,Turn-Based_Strategy,230
Strategy,Story_Rich,50
Strategy,Space,153
Strategy,Great_Soundtrack,98
Strategy,Board_Game,80
Strategy,Arcade,46
Strategy,Shooter,49
Strategy,Steampunk,21
Strategy,Sandbox,88
Strategy,Exploration,39
Strategy,Post-apocalyptic,25
Strategy,First-Person,27
Strategy,Multiplayer,286
Strategy,2D,124
Strategy,Sci-fi,200
Strategy,Rogue-lite,22
Strategy,Pixel_Graphics,90
Strategy,Physics,29
Strategy,Historical,102
Strategy,Retro,52
Strategy,Difficult,75
Strategy,Anime,66
Strategy,Funny,62
Strategy,World_War_II,93
Strategy,Atmospheric,85
Strategy,Military,38
Strategy,Medieval,39
Strategy,Realistic,30
Strategy,Singleplayer,436
Strategy,Action_RPG,21
Strategy,Shoot_'Em_Up,37
Strategy,Turn-Based_Combat,51
Strategy,City_Builder,58
Strategy,Grand_Strategy,67
Strategy,JRPG,22
Strategy,Wargame,48
Strategy,Economy,53
Strategy,Replay_Value,64
Strategy,Cute,31
Strategy,Family_Friendly,38
Strategy,RPGMaker,45
Strategy,Isometric,39
Strategy,Naval,25
Strategy,Real-Time_with_Pause,30
Strategy,Female_Protagonist,38
Strategy,Base-Building,29
Strategy,Local_Multiplayer,28
Strategy,Resource_Management,31
Strategy,Trading_Card_Game,20
Strategy,Management,91
Strategy,Tanks,22
Strategy,Turn-Based_Tactics,68
Strategy,Strategy_RPG,30
Strategy,Tactical_RPG,21
Strategy,VR,57
Free_to_Play,Massively_Multiplayer,94
Free_to_Play,Sports,20
Free_to_Play,Card_Game,23
Free_to_Play,Horror,33
Free_to_Play,Open_World,31
Free_to_Play,MMORPG,27
Free_to_Play,Visual_Novel,22
Free_to_Play,First-Person,21
Free_to_Play,Multiplayer,120
Free_to_Play,2D,20
Free_to_Play,Pixel_Graphics,20
Free_to_Play,Anime,40
Free_to_Play,Singleplayer,38
Free_to_Play,VR,42
RPG,Free_to_Play,99
RPG,Massively_Multiplayer,117
RPG,Simulation,242
RPG,Racing,42
RPG,Sports,43
RPG,Platformer,60
RPG,Building,23
RPG,Hack_and_Slash,59
RPG,Zombies,46
RPG,Survival,85
RPG,FPS,25
RPG,Puzzle,69
RPG,Card_Game,28
RPG,Horror,58
RPG,RTS,22
RPG,Turn-Based,207
RPG,Fantasy,277
RPG,Co-op,68
RPG,Classic,71
RPG,Open_World,135
RPG,Third_Person,37
RPG,Point_&_Click,20
RPG,Crafting,59
RPG,Tactical,62
RPG,Rogue-like,144
RPG,Comedy,59
RPG,Dungeon_Crawler,92
RPG,Turn-Based_Strategy,87
RPG,Story_Rich,133
RPG,MMORPG,44
RPG,Space,67
RPG,Great_Soundtrack,132
RPG,Perma_Death,32
RPG,Arcade,21
RPG,Shooter,41
RPG,Steampunk,22
RPG,Side_Scroller,24
RPG,Visual_Novel,53
RPG,Sandbox,69
RPG,Exploration,60
RPG,Post-apocalyptic,32
RPG,First-Person,45
RPG,Local_Co-Op,33
RPG,Multiplayer,136
RPG,2D,139
RPG,Sci-fi,116
RPG,Rogue-lite,66
RPG,Pixel_Graphics,158
RPG,Historical,25
RPG,Retro,75
RPG,Difficult,64
RPG,Magic,26
RPG,Anime,146
RPG,Cyberpunk,21
RPG,Funny,49
RPG,Atmospheric,97
RPG,Medieval,20
RPG,Singleplayer,356
RPG,Action_RPG,116
RPG,Loot,23
RPG,Shoot_'Em_Up,37
RPG,Turn-Based_Combat,63
RPG,JRPG,117
RPG,CRPG,28
RPG,Choose_Your_Own_Adventure,71
RPG,Dark_Fantasy,26
RPG,Replay_Value,31
RPG,Cute,35
RPG,Character_Customization,24
RPG,Top-Down,39
RPG,Procedural_Generation,36
RPG,Kickstarter,23
RPG,Family_Friendly,21
RPG,RPGMaker,210
RPG,Isometric,68
RPG,Choices_Matter,27
RPG,Female_Protagonist,125
RPG,Party-Based_RPG,38
RPG,Interactive_Fiction,24
RPG,Turn-Based_Tactics,31
RPG,Strategy_RPG,26
RPG,Tactical_RPG,22
RPG,VR,27
Massively_Multiplayer,Open_World,45
Massively_Multiplayer,MMORPG,46
Massively_Multiplayer,Sandbox,21
Massively_Multiplayer,Multiplayer,84
Casual,Free_to_Play,126
Casual,RPG,345
Casual,Massively_Multiplayer,43
Casual,Simulation,624
Casual,Racing,128
Casual,Sports,192
Casual,Education,49
Casual,Music,50
Casual,Platformer,190
Casual,Building,25
Casual,Tower_Defense,77
Casual,Relaxing,68
Casual,Zombies,45
Casual,Survival,39
Casual,FPS,30
Casual,Puzzle,595
Casual,Match_3,66
Casual,Card_Game,42
Casual,Horror,112
Casual,Turn-Based,46
Casual,Fantasy,108
Casual,Co-op,57
Casual,Stealth,20
Casual,Classic,28
Casual,Open_World,52
Casual,Point_&_Click,213
Casual,Surreal,23
Casual,Rogue-like,24
Casual,Comedy,98
Casual,Fast-Paced,30
Casual,Turn-Based_Strategy,23
Casual,Story_Rich,110
Casual,Rhythm,27
Casual,Space,66
Casual,Great_Soundtrack,207
Casual,Board_Game,47
Casual,Arcade,157
Casual,Shooter,65
Casual,Steampunk,25
Casual,Side_Scroller,28
Casual,Visual_Novel,142
Casual,Sandbox,55
Casual,Exploration,73
Casual,First-Person,52
Casual,Local_Co-Op,44
Casual,Multiplayer,154
Casual,2D,232
Casual,Sci-fi,84
Casual,Pixel_Graphics,130
Casual,Physics,67
Casual,Retro,90
Casual,Difficult,122
Casual,Anime,170
Casual,Minimalist,45
Casual,Funny,141
Casual,Atmospheric,179
Casual,Singleplayer,451
Casual,Cartoony,33
Casual,Short,37
Casual,Stylized,30
Casual,Shoot_'Em_Up,83
Casual,Colorful,57
Casual,Dark,24
Casual,Abstract,20
Casual,JRPG,31
Casual,Replay_Value,45
Casual,Cute,101
Casual,Top-Down,24
Casual,4_Player_Local,34
Casual,Bullet_Hell,28
Casual,Romance,22
Casual,Family_Friendly,191
Casual,3D_Platformer,28
Casual,Puzzle-Platformer,74
Casual,RPGMaker,93
Casual,Mystery,46
Casual,Robots,22
Casual,Walking_Simulator,27
Casual,Nudity,23
Casual,Female_Protagonist,164
Casual,Local_Multiplayer,74
Casual,Controller,41
Casual,Level_Editor,29
Casual,Dating_Sim,28
Casual,Memes,55
Casual,Management,34
Casual,VR,232
Casual,Touch-Friendly,32
Casual,Otome,27
Casual,Clicker,20
Casual,Hidden_Object,227
Simulation,Free_to_Play,61
Simulation,Massively_Multiplayer,56
Simulation,Racing,169
Simulation,Sports,266
Simulation,Education,24
Simulation,Trains,29
Simulation,Platformer,22
Simulation,Building,58
Simulation,Relaxing,20
Simulation,Zombies,28
Simulation,Survival,85
Simulation,FPS,25
Simulation,Puzzle,80
Simulation,Horror,49
Simulation,Moddable,24
Simulation,4X,20
Simulation,RTS,44
Simulation,Turn-Based,50
Simulation,War,25
Simulation,Fantasy,37
Simulation,Co-op,32
Simulation,Classic,25
Simulation,Open_World,117
Simulation,Crafting,34
Simulation,Tactical,42
Simulation,Rogue-like,22
Simulation,Comedy,37
Simulation,Turn-Based_Strategy,48
Simulation,Story_Rich,48
Simulation,Space,151
Simulation,Great_Soundtrack,72
Simulation,Arcade,44
Simulation,Shooter,39
Simulation,Visual_Novel,83
Simulation,Sandbox,136
Simulation,Exploration,37
Simulation,First-Person,46
Simulation,Multiplayer,176
Simulation,2D,68
Simulation,Sci-fi,120
Simulation,Pixel_Graphics,56
Simulation,Physics,58
Simulation,Historical,59
Simulation,Retro,25
Simulation,Difficult,50
Simulation,Anime,92
Simulation,Funny,66
Simulation,World_War_II,59
Simulation,Atmospheric,76
Simulation,Military,26
Simulation,Medieval,20
Simulation,Realistic,61
Simulation,Singleplayer,290
Simulation,Trading,20
Simulation,Shoot_'Em_Up,29
Simulation,City_Builder,50
Simulation,Grand_Strategy,35
Simulation,Wargame,20
Simulation,Economy,49
Simulation,Replay_Value,39
Simulation,Cute,34
Simulation,Romance,23
Simulation,Family_Friendly,49
Simulation,RPGMaker,27
Simulation,Naval,20
Simulation,Female_Protagonist,55
Simulation,Base-Building,20
Simulation,Resource_Management,20
Simulation,Dating_Sim,29
Simulation,Memes,33
Simulation,Management,117
Simulation,Flight,49
Simulation,Space_Sim,50
Simulation,VR,182
Simulation,Otome,24
Simulation,Driving,32
Racing,Platformer,20
Racing,Open_World,20
Racing,Fast-Paced,21
Racing,Great_Soundtrack,28
Racing,Arcade,50
Racing,2D,24
Racing,Difficult,23
