Y2018,Y2013,Y2008,Y2003,Y1998,Y1993,Frequency
Tactical,Atypical,Isometric,Simulation,Simulation,Game,0
Typical,Atypical,Isometric,Simulation,Simulation,Game,0
Atypical,Atypical,Isometric,Simulation,Simulation,Game,0
Thrilling,Atypical,Isometric,Simulation,Simulation,Game,0
Tactical,Explorative,Isometric,Simulation,Simulation,Game,0
Typical,Explorative,Isometric,Simulation,Simulation,Game,0
Atypical,Explorative,Isometric,Simulation,Simulation,Game,0
Thrilling,Explorative,Isometric,Simulation,Simulation,Game,0
Tactical,Thrilling,Isometric,Simulation,Simulation,Game,0
Typical,Thrilling,Isometric,Simulation,Simulation,Game,0
Atypical,Thrilling,Isometric,Simulation,Simulation,Game,0
Thrilling,Thrilling,Isometric,Simulation,Simulation,Game,0
Tactical,Tactical,Isometric,Simulation,Simulation,Game,0
Typical,Tactical,Isometric,Simulation,Simulation,Game,0
Atypical,Tactical,Isometric,Simulation,Simulation,Game,0
Thrilling,Tactical,Isometric,Simulation,Simulation,Game,0
Tactical,Antiheroic,Isometric,Simulation,Simulation,Game,0
Typical,Antiheroic,Isometric,Simulation,Simulation,Game,0
Atypical,Antiheroic,Isometric,Simulation,Simulation,Game,0
Thrilling,Antiheroic,Isometric,Simulation,Simulation,Game,0
Tactical,Typical,Isometric,Simulation,Simulation,Game,0
Typical,Typical,Isometric,Simulation,Simulation,Game,0
Atypical,Typical,Isometric,Simulation,Simulation,Game,0
Thrilling,Typical,Isometric,Simulation,Simulation,Game,0
Tactical,0,Isometric,Simulation,Simulation,Game,0
Typical,0,Isometric,Simulation,Simulation,Game,0
Atypical,0,Isometric,Simulation,Simulation,Game,0
Thrilling,0,Isometric,Simulation,Simulation,Game,0
Tactical,Atypical,Simulation,Simulation,Simulation,Game,0
Typical,Atypical,Simulation,Simulation,Simulation,Game,0
Atypical,Atypical,Simulation,Simulation,Simulation,Game,0
Thrilling,Atypical,Simulation,Simulation,Simulation,Game,0
Tactical,Explorative,Simulation,Simulation,Simulation,Game,1
Typical,Explorative,Simulation,Simulation,Simulation,Game,0
Atypical,Explorative,Simulation,Simulation,Simulation,Game,0
Thrilling,Explorative,Simulation,Simulation,Simulation,Game,0
Tactical,Thrilling,Simulation,Simulation,Simulation,Game,0
Typical,Thrilling,Simulation,Simulation,Simulation,Game,0
Atypical,Thrilling,Simulation,Simulation,Simulation,Game,0
Thrilling,Thrilling,Simulation,Simulation,Simulation,Game,0
Tactical,Tactical,Simulation,Simulation,Simulation,Game,0
Typical,Tactical,Simulation,Simulation,Simulation,Game,0
Atypical,Tactical,Simulation,Simulation,Simulation,Game,0
Thrilling,Tactical,Simulation,Simulation,Simulation,Game,0
Tactical,Antiheroic,Simulation,Simulation,Simulation,Game,0
Typical,Antiheroic,Simulation,Simulation,Simulation,Game,0
Atypical,Antiheroic,Simulation,Simulation,Simulation,Game,0
Thrilling,Antiheroic,Simulation,Simulation,Simulation,Game,0
Tactical,Typical,Simulation,Simulation,Simulation,Game,0
Typical,Typical,Simulation,Simulation,Simulation,Game,0
Atypical,Typical,Simulation,Simulation,Simulation,Game,0
Thrilling,Typical,Simulation,Simulation,Simulation,Game,0
Tactical,0,Simulation,Simulation,Simulation,Game,0
Typical,0,Simulation,Simulation,Simulation,Game,0
Atypical,0,Simulation,Simulation,Simulation,Game,0
Thrilling,0,Simulation,Simulation,Simulation,Game,0
Tactical,Atypical,Mixed,Simulation,Simulation,Game,0
Typical,Atypical,Mixed,Simulation,Simulation,Game,0
Atypical,Atypical,Mixed,Simulation,Simulation,Game,0
Thrilling,Atypical,Mixed,Simulation,Simulation,Game,0
Tactical,Explorative,Mixed,Simulation,Simulation,Game,0
Typical,Explorative,Mixed,Simulation,Simulation,Game,0
Atypical,Explorative,Mixed,Simulation,Simulation,Game,0
Thrilling,Explorative,Mixed,Simulation,Simulation,Game,0
Tactical,Thrilling,Mixed,Simulation,Simulation,Game,0
Typical,Thrilling,Mixed,Simulation,Simulation,Game,0
Atypical,Thrilling,Mixed,Simulation,Simulation,Game,0
Thrilling,Thrilling,Mixed,Simulation,Simulation,Game,0
Tactical,Tactical,Mixed,Simulation,Simulation,Game,0
Typical,Tactical,Mixed,Simulation,Simulation,Game,0
Atypical,Tactical,Mixed,Simulation,Simulation,Game,0
Thrilling,Tactical,Mixed,Simulation,Simulation,Game,0
Tactical,Antiheroic,Mixed,Simulation,Simulation,Game,0
Typical,Antiheroic,Mixed,Simulation,Simulation,Game,0
